UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp difference,Power,Wear severity,Load factor
1900,L49079,L,297.8,307.5,1388,40.0,159,0,0,0,0,0,0,9.699999999999989,5814.040804243511,6360.0,0.02881844380403458
1901,H31314,H,297.9,307.6,1493,36.0,161,0,0,0,0,0,0,9.700000000000045,5628.477398171473,5796.0,0.024112525117213665
1902,M16761,M,297.9,307.6,1505,40.1,166,0,0,0,0,0,0,9.700000000000045,6319.889581349026,6656.6,0.02664451827242525
1903,L49082,L,298.0,307.6,1694,29.1,169,0,0,0,0,0,0,9.600000000000023,5162.202216525677,4917.900000000001,0.01717827626918536
1904,L49083,L,297.9,307.6,1968,20.4,171,0,0,0,0,0,0,9.700000000000045,4204.204952740004,3488.3999999999996,0.010365853658536584
1905,M16764,M,298.0,307.6,1569,35.6,173,0,0,0,0,0,0,9.600000000000023,5849.268529865764,6158.8,0.022689611217335884
1906,L49085,L,297.9,307.6,1687,29.1,176,0,0,0,0,0,0,9.700000000000045,5140.870802407802,5121.6,0.017249555423829284
1907,L49086,L,297.9,307.6,1430,52.4,178,0,0,0,0,0,0,9.700000000000045,7846.860690626347,9327.199999999999,0.03664335664335664
1908,L49087,L,297.9,307.6,1504,42.4,180,0,0,0,0,0,0,9.700000000000045,6677.936896078656,7632.0,0.028191489361702127
1909,L49088,L,297.9,307.6,1977,20.2,182,0,0,0,0,0,0,9.700000000000045,4182.025308605661,3676.4,0.010217501264542236
1910,L49089,L,298.0,307.7,1435,45.6,184,0,0,0,0,0,0,9.699999999999989,6852.4418960100575,8390.4,0.03177700348432056
1911,H31324,H,298.0,307.7,1547,36.8,186,0,0,0,0,0,0,9.699999999999989,5961.653771060182,6844.799999999999,0.0237879767291532
1912,M16771,M,298.1,307.8,1316,57.2,191,0,0,0,0,0,0,9.699999999999989,7882.800510583414,10925.2,0.04346504559270517
1913,M16772,M,298.0,307.7,1621,34.9,194,0,0,0,0,0,0,9.699999999999989,5924.300234409,6770.599999999999,0.02152991980259099
1914,M16773,M,298.0,307.8,1492,40.2,197,0,0,0,0,0,0,9.800000000000011,6280.923360469003,7919.400000000001,0.026943699731903487
1915,L49094,L,298.0,307.7,1643,32.3,200,0,0,0,0,0,0,9.699999999999989,5557.362212469712,6459.999999999999,0.019659160073037127
1916,L49095,L,298.0,307.7,1492,38.7,202,0,0,0,0,0,0,9.699999999999989,6046.560548511204,7817.400000000001,0.02593833780160858
1917,L49096,L,298.0,307.7,1387,50.8,204,0,0,0,0,0,0,9.699999999999989,7378.512057829179,10363.199999999999,0.03662581110310022
1918,M16777,M,298.1,307.9,1463,47.3,206,0,0,0,0,0,0,9.799999999999955,7246.596582304945,9743.8,0.03233082706766917
1919,M16778,M,298.1,307.9,1496,40.0,0,0,0,0,0,0,0,9.799999999999955,6266.430146360441,0.0,0.026737967914438502
1920,L49099,L,298.2,308.0,1658,30.0,3,0,0,0,0,0,0,9.800000000000011,5208.760619651877,90.0,0.018094089264173704
1921,L49100,L,298.1,307.9,2161,17.5,5,0,0,0,0,0,0,9.799999999999955,3960.2393392377335,87.5,0.008098102730217492
1922,L49101,L,298.1,307.9,1665,32.0,7,0,0,0,0,0,0,9.799999999999955,5579.468552775473,224.0,0.01921921921921922
1923,L49102,L,298.0,307.8,1716,26.6,9,0,0,0,0,0,0,9.800000000000011,4779.9960542899435,239.4,0.015501165501165502
1924,L49103,L,298.0,307.7,1529,34.1,11,0,0,0,0,0,0,9.699999999999989,5459.972840208429,375.1,0.022302158273381296
1925,L49104,L,297.9,307.7,1353,50.7,13,0,0,0,0,0,0,9.800000000000011,7183.471513918813,659.1,0.03747228381374723
1926,L49105,L,297.9,307.7,1537,37.7,15,0,0,0,0,0,0,9.800000000000011,6067.975738433174,565.5,0.024528301886792454
1927,L49106,L,298.0,307.7,1606,30.8,17,0,0,0,0,0,0,9.699999999999989,5179.941743042947,523.6,0.019178082191780823
1928,H31341,H,298.0,307.8,1314,47.8,19,0,0,0,0,0,0,9.800000000000011,6577.364043261735,908.1999999999999,0.03637747336377473
1929,L49108,L,298.0,307.8,1623,29.9,24,0,0,0,0,0,0,9.800000000000011,5081.808860520313,717.5999999999999,0.01842267406038201
1930,M16789,M,298.0,307.8,1483,50.9,26,0,0,0,0,0,0,9.800000000000011,7904.739299280981,1323.3999999999999,0.034322319622387056
1931,M16790,M,298.1,307.9,1569,37.0,29,0,0,0,0,0,0,9.799999999999955,6079.295943961609,1073.0,0.023581899298916506
1932,M16791,M,298.2,308.0,1969,21.7,32,0,0,0,0,0,0,9.800000000000011,4474.392392924239,694.4,0.011020822752666328
1933,M16792,M,298.1,308.0,1686,29.3,35,0,0,0,0,0,0,9.899999999999977,5173.13495896017,1025.5,0.01737841043890866
1934,L49113,L,298.1,308.0,1638,35.1,38,0,0,0,0,0,0,9.899999999999977,6020.7366568986945,1333.8,0.02142857142857143
1935,L49114,L,298.1,307.9,1698,33.3,40,0,0,0,0,0,0,9.799999999999955,5921.21100163297,1332.0,0.0196113074204947
1936,M16795,M,298.1,307.9,1377,55.1,42,0,0,0,0,0,0,9.799999999999955,7945.370564267411,2314.2000000000003,0.04001452432824982
1937,M16796,M,298.1,308.0,2129,18.4,45,0,0,0,0,0,0,9.899999999999977,4102.249799155504,827.9999999999999,0.008642555190230154
1938,L49117,L,298.2,308.0,1411,42.4,48,0,0,0,0,0,0,9.800000000000011,6265.0059576908125,2035.1999999999998,0.030049610205527995
1939,L49118,L,298.1,307.9,1517,40.8,50,0,0,0,0,0,0,9.799999999999955,6481.482635474174,2039.9999999999998,0.026895187870797626
1940,M16799,M,298.1,307.9,1303,53.9,52,0,0,0,0,0,0,9.799999999999955,7354.646425637408,2802.7999999999997,0.04136607828089025
1941,L49120,L,298.1,307.9,1578,35.6,55,0,0,0,0,0,0,9.799999999999955,5882.820739406104,1958.0,0.022560202788339673
1942,L49121,L,298.1,307.9,1425,58.2,57,0,0,0,0,0,0,9.799999999999955,8684.932890848982,3317.4,0.040842105263157895
1943,L49122,L,298.1,308.0,1456,42.4,59,0,0,0,0,0,0,9.899999999999977,6464.811250459124,2501.6,0.02912087912087912
1944,L49123,L,298.1,308.0,1704,30.9,61,0,0,0,0,0,0,9.899999999999977,5513.872098168517,1884.8999999999999,0.01813380281690141
1945,L49124,L,298.1,308.1,1791,27.3,63,0,0,0,0,0,0,10.0,5120.19912274718,1719.9,0.015242881072026801
1946,L49125,L,298.1,308.1,1616,32.8,65,0,0,0,0,0,0,10.0,5550.649676166542,2132.0,0.020297029702970294
1947,L49126,L,298.2,308.1,1622,34.9,67,0,0,0,0,0,0,9.900000000000034,5927.954953862676,2338.2999999999997,0.02151664611590629
1948,L49127,L,298.2,308.1,1462,49.9,69,0,0,0,0,0,0,9.900000000000034,7639.704071048634,3443.1,0.0341313269493844
1949,L49128,L,298.1,308.1,1410,45.8,71,0,0,0,0,0,0,10.0,6762.592346117389,3251.7999999999997,0.032482269503546095
1950,M16809,M,298.1,308.0,1543,41.9,73,0,0,0,0,0,0,9.899999999999977,6770.310192069707,3058.7,0.0271548930654569
1951,M16810,M,298.0,307.9,1479,47.6,76,0,0,0,0,0,0,9.899999999999977,7372.312648326097,3617.6,0.03218390804597701
1952,L49131,L,298.0,307.8,1839,22.7,79,0,0,0,0,0,0,9.800000000000011,4371.557593396733,1793.3,0.012343665035345296
1953,L49132,L,298.0,307.8,1266,60.5,81,0,0,0,0,0,0,9.800000000000011,8020.800203880101,4900.5,0.04778830963665087
1954,L49133,L,297.9,307.7,1593,34.9,83,0,0,0,0,0,0,9.800000000000011,5821.968089706069,2896.7,0.021908349026993092
1955,L49134,L,297.9,307.8,1459,46.9,85,0,0,0,0,0,0,9.900000000000034,7165.669155548471,3986.5,0.032145305003427
1956,L49135,L,297.9,307.7,1308,55.2,87,0,0,0,0,0,0,9.800000000000011,7560.933871247627,4802.400000000001,0.04220183486238532
1957,M16816,M,297.9,307.7,1364,46.8,89,0,0,0,0,0,0,9.800000000000011,6684.806512014504,4165.2,0.0343108504398827
1958,H31371,H,297.9,307.7,1618,35.9,92,0,0,0,0,0,0,9.800000000000011,6082.772639831581,3302.7999999999997,0.02218788627935723
1959,H31372,H,297.9,307.7,1464,43.2,97,0,0,0,0,0,0,9.800000000000011,6622.979968591858,4190.400000000001,0.029508196721311476
1960,M16819,M,297.8,307.6,1352,49.4,102,0,0,0,0,0,0,9.800000000000011,6994.106780735933,5038.8,0.03653846153846154
1961,L49140,L,297.8,307.6,1446,51.4,105,0,0,0,0,0,0,9.800000000000011,7783.232967415641,5397.0,0.035546334716459196
1962,L49141,L,297.8,307.5,1448,51.2,107,0,0,0,0,0,0,9.699999999999989,7763.671317159288,5478.400000000001,0.03535911602209945
1963,L49142,L,297.8,307.5,1391,48.6,109,0,0,0,0,0,0,9.699999999999989,7079.327717452312,5297.400000000001,0.034938892882818116
1964,L49143,L,297.7,307.5,1379,43.3,111,0,0,0,0,0,0,9.800000000000011,6252.889882023469,4806.299999999999,0.031399564902102974
1965,M16824,M,297.8,307.5,1405,46.9,113,0,0,0,0,0,0,9.699999999999989,6900.455903732422,5299.7,0.033380782918149464
1966,L49145,L,297.8,307.5,1581,33.1,116,0,0,0,0,0,0,9.699999999999989,5480.099977142428,3839.6000000000004,0.020936116382036688
1967,L49146,L,297.9,307.6,1515,40.5,118,0,0,0,0,0,0,9.700000000000045,6425.342374754525,4779.0,0.026732673267326732
1968,L49147,L,297.9,307.6,1589,37.8,120,0,0,0,0,0,0,9.700000000000045,6289.908315458268,4536.0,0.023788546255506606
1969,L49148,L,298.0,307.6,1281,50.8,122,0,0,0,0,0,0,9.600000000000023,6814.617120460835,6197.599999999999,0.03965651834504293
1970,H31383,H,297.8,307.5,1631,31.3,124,0,0,0,0,0,0,9.699999999999989,5345.974914785167,3881.2000000000003,0.01919068056407112
1971,M16830,M,297.9,307.6,1202,67.0,129,0,0,0,0,0,0,9.700000000000045,8433.50075880668,8643.0,0.05574043261231281
1972,L49151,L,297.9,307.6,1298,52.7,132,0,0,0,0,0,0,9.700000000000045,7163.312961058279,6956.400000000001,0.040600924499229585
1973,L49152,L,297.9,307.6,1612,30.7,134,0,0,0,0,0,0,9.700000000000045,5182.41312926377,4113.8,0.019044665012406946
1974,L49153,L,297.9,307.6,1747,25.3,136,0,0,0,0,0,0,9.700000000000045,4628.518928509354,3440.8,0.014481969089868346
1975,L49154,L,298.0,307.6,1450,48.7,138,0,0,0,0,0,0,9.600000000000023,7394.785507774775,6720.6,0.03358620689655173
1976,L49155,L,298.0,307.7,1422,45.6,140,0,0,0,0,0,0,9.699999999999989,6790.364025175122,6384.0,0.032067510548523206
1977,M16836,M,298.1,307.7,1419,47.4,142,0,0,0,0,0,0,9.599999999999966,7043.513561201388,6730.8,0.03340380549682875
1978,M16837,M,298.1,307.7,1633,30.7,145,0,0,0,0,0,0,9.599999999999966,5249.925955389416,4451.5,0.018799755052051437
1979,L49158,L,298.0,307.7,1442,43.6,148,0,0,0,0,0,0,9.699999999999989,6583.856668079154,6452.8,0.030235783633841887
1980,H31393,H,298.0,307.6,1420,45.8,150,0,0,0,0,0,0,9.600000000000023,6810.553993962192,6870.0,0.03225352112676056
1981,M16840,M,298.0,307.6,1301,58.5,155,0,0,0,0,0,0,9.600000000000023,7970.063482524626,9067.5,0.04496541122213682
1982,L49161,L,298.0,307.6,1385,45.0,158,0,0,0,0,0,0,9.600000000000023,6526.658737832796,7110.0,0.032490974729241874
1983,M16842,M,298.0,307.7,1487,41.3,160,0,0,0,0,0,0,9.699999999999989,6431.164793139177,6608.0,0.02777404169468729
1984,M16843,M,298.0,307.6,1459,44.4,163,0,0,0,0,0,0,9.600000000000023,6783.703848749512,7237.2,0.030431802604523644
1985,M16844,M,298.0,307.5,1387,45.5,166,0,0,0,0,0,0,9.5,6608.706665969048,7553.0,0.03280461427541456
1986,L49165,L,298.1,307.7,1537,40.8,169,0,0,0,0,0,0,9.599999999999966,6566.933955651816,6895.2,0.026545217957059206
1987,L49166,L,298.1,307.6,1498,42.9,171,0,0,0,0,0,0,9.5,6729.7312869608395,7335.9,0.02863818424566088
1988,M16847,M,298.2,307.8,1599,31.2,173,0,0,0,0,0,0,9.600000000000023,5224.342919213682,5397.599999999999,0.01951219512195122
1989,H31402,H,298.3,307.9,1420,39.2,176,0,0,0,0,0,0,9.599999999999966,5829.1204489807415,6899.200000000001,0.027605633802816904
1990,L49169,L,298.2,307.9,1785,23.4,181,0,0,0,0,0,0,9.699999999999989,4374.039451593069,4235.4,0.01310924369747899
1991,L49170,L,298.2,307.8,1423,48.1,183,0,0,0,0,0,0,9.600000000000023,7167.679774846769,8802.300000000001,0.033801827125790586
1992,M16851,M,298.2,307.8,1583,36.6,185,0,0,0,0,0,0,9.600000000000023,6067.232228171824,6771.0,0.02312065698041693
1993,L49172,L,298.2,307.8,1375,46.6,188,0,0,0,0,0,0,9.600000000000023,6709.918309292199,8760.800000000001,0.03389090909090909
1994,M16853,M,298.3,308.0,1463,42.5,190,0,0,0,0,0,0,9.699999999999989,6511.212573952646,8075.0,0.029049897470950103
1995,M16854,M,298.2,307.9,1403,45.1,193,0,0,0,0,0,0,9.699999999999989,6626.173921123007,8704.300000000001,0.032145402708481825
1996,L49175,L,298.3,308.0,1451,47.1,196,0,0,0,0,0,0,9.699999999999989,7156.7679763633005,9231.6,0.032460372157133016
1997,M16856,M,298.4,308.0,1416,38.2,198,1,1,0,0,0,0,9.600000000000023,5664.417218128541,7563.6,0.026977401129943505
1998,L49177,L,298.3,308.1,1672,41.3,0,0,0,0,0,0,0,9.800000000000011,7231.2760821309375,0.0,0.024700956937799043
1999,H31412,H,298.3,308.0,1637,30.8,2,0,0,0,0,0,0,9.699999999999989,5279.928165231197,61.6,0.018814905314599877
2000,L49179,L,298.4,308.0,1540,37.8,7,0,0,0,0,0,0,9.600000000000023,6095.946385025634,264.59999999999997,0.024545454545454544
2001,L49180,L,298.4,308.1,1279,53.1,9,0,0,0,0,0,0,9.700000000000045,7112.031696976182,477.90000000000003,0.04151681000781861
2002,L49181,L,298.4,308.2,1604,34.9,11,0,0,0,0,0,0,9.800000000000011,5862.170003696506,383.9,0.021758104738154614
2003,L49182,L,298.5,308.2,1654,27.1,13,0,0,0,0,0,0,9.699999999999989,4693.895471630558,352.3,0.016384522370012092
2004,M16863,M,298.5,308.2,1564,37.5,15,0,0,0,0,0,0,9.699999999999989,6141.813637768046,562.5,0.0239769820971867
2005,L49184,L,298.5,308.2,1451,47.5,18,0,0,0,0,0,0,9.699999999999989,7217.547322234751,855.0,0.03273604410751206
2006,L49185,L,298.5,308.3,1504,38.0,20,0,0,0,0,0,0,9.800000000000011,5984.943444598796,760.0,0.02526595744680851
2007,M16866,M,298.5,308.3,1381,50.5,22,0,0,0,0,0,0,9.800000000000011,7303.208081922631,1111.0,0.036567704561911656
2008,L49187,L,298.6,308.4,1562,34.4,25,0,0,0,0,0,0,9.799999999999955,5626.885657893655,860.0,0.02202304737516005
2009,L49188,L,298.5,308.3,1811,24.7,27,0,0,0,0,0,0,9.800000000000011,4684.292670086084,666.9,0.013638873550524571
2010,M16869,M,298.6,308.3,1717,28.7,29,0,0,0,0,0,0,9.699999999999989,5160.369620811081,832.3,0.016715200931857892
2011,L49190,L,298.6,308.3,1278,60.5,32,0,0,0,0,0,0,9.699999999999989,8096.826746096974,1936.0,0.047339593114241005
2012,L49191,L,298.7,308.5,1616,30.2,34,0,0,0,0,0,0,9.800000000000011,5110.65915305578,1026.8,0.018688118811881187
2013,L49192,L,298.6,308.4,1397,46.4,36,0,0,0,0,0,0,9.799999999999955,6788.018302660441,1670.3999999999999,0.033214030064423763
2014,L49193,L,298.6,308.4,1485,42.9,38,0,0,0,0,0,0,9.799999999999955,6671.329079530606,1630.2,0.028888888888888888
2015,L49194,L,298.6,308.4,1310,59.7,40,0,0,0,0,0,0,9.799999999999955,8189.8178886432315,2388.0,0.04557251908396947
2016,L49195,L,298.5,308.2,1301,66.3,42,1,0,0,1,0,0,9.699999999999989,9032.738613527908,2784.6,0.05096079938508839
2017,L49196,L,298.5,308.3,1458,44.0,44,0,0,0,0,0,0,9.800000000000011,6717.981730436413,1936.0,0.03017832647462277
2018,L49197,L,298.7,308.5,1483,42.5,46,0,0,0,0,0,0,9.800000000000011,6600.224365804356,1955.0,0.028658125421443022
2019,L49198,L,298.7,308.5,1375,46.4,48,0,0,0,0,0,0,9.800000000000011,6681.120376634292,2227.2,0.033745454545454544
2020,M16879,M,298.7,308.5,1660,27.0,50,0,0,0,0,0,0,9.800000000000011,4693.539424463151,1350.0,0.016265060240963854
2021,H31434,H,298.7,308.4,1560,33.3,53,0,0,0,0,0,0,9.699999999999989,5439.981838956085,1764.8999999999999,0.021346153846153845
2022,L49201,L,298.7,308.5,1480,42.2,58,0,0,0,0,0,0,9.800000000000011,6540.37702575347,2447.6000000000004,0.028513513513513514
2023,L49202,L,298.7,308.4,1373,46.9,60,0,0,0,0,0,0,9.699999999999989,6743.292495248835,2814.0,0.03415877640203933
2024,L49203,L,298.7,308.5,1444,54.2,62,0,0,0,0,0,0,9.800000000000011,8195.870690489148,3360.4,0.03753462603878117
2025,M16884,M,298.7,308.6,1722,24.7,64,0,0,0,0,0,0,9.900000000000034,4454.087232406537,1580.8,0.014343786295005807
2026,L49205,L,298.7,308.5,1469,39.9,67,0,0,0,0,0,0,9.800000000000011,6137.949478804129,2673.2999999999997,0.02716133424098026
2027,M16886,M,298.7,308.5,1360,52.9,69,0,0,0,0,0,0,9.800000000000011,7533.958062328803,3650.1,0.03889705882352941
2028,L49207,L,298.7,308.4,1750,25.8,72,0,0,0,0,0,0,9.699999999999989,4728.096943652638,1857.6000000000001,0.014742857142857143
2029,M16888,M,298.7,308.3,1349,46.6,74,0,0,0,0,0,0,9.600000000000023,6583.03985398922,3448.4,0.03454410674573759
2030,L49209,L,298.7,308.5,1668,35.2,77,0,0,0,0,0,0,9.800000000000011,6148.473814193656,2710.4,0.021103117505995205
2031,L49210,L,298.9,308.6,1400,49.5,79,0,0,0,0,0,0,9.700000000000045,7257.079029792421,3910.5,0.03535714285714286
2032,L49211,L,298.8,308.6,1331,62.8,81,0,0,0,0,0,0,9.800000000000011,8753.189227235976,5086.8,0.04718256949661908
2033,L49212,L,298.8,308.5,1444,42.2,83,0,0,0,0,0,0,9.699999999999989,6381.286773775684,3502.6000000000004,0.029224376731301942
2034,H31447,H,298.8,308.5,1359,47.6,85,0,0,0,0,0,0,9.699999999999989,6774.153407082599,4046.0,0.035025754231052246
2035,M16894,M,298.8,308.5,1425,47.4,90,0,0,0,0,0,0,9.699999999999989,7073.295859557418,4266.0,0.03326315789473684
2036,M16895,M,298.9,308.6,1469,34.2,93,0,0,0,0,0,0,9.700000000000045,5261.099553260684,3180.6000000000004,0.02328114363512594
2037,L49216,L,299.0,308.7,1892,22.8,96,0,0,0,0,0,0,9.699999999999989,4517.358908449836,2188.8,0.012050739957716702
2038,H31451,H,299.0,308.7,1940,19.9,98,0,0,0,0,0,0,9.699999999999989,4042.810866149585,1950.1999999999998,0.010257731958762886
2039,L49218,L,299.0,308.8,1405,55.2,103,0,0,0,0,0,0,9.800000000000011,8121.645328060334,5685.6,0.03928825622775801
2040,M16899,M,299.0,308.9,1449,39.6,105,0,0,0,0,0,0,9.899999999999977,6008.861436668127,4158.0,0.027329192546583853
2041,L49220,L,299.1,308.9,1686,29.6,108,0,0,0,0,0,0,9.799999999999955,5226.102211099694,3196.8,0.017556346381969158
2042,L49221,L,299.1,308.9,1680,27.2,110,0,0,0,0,0,0,9.799999999999955,4785.273929947973,2992.0,0.01619047619047619
2043,M16902,M,299.1,308.9,1397,52.4,112,0,0,0,0,0,0,9.799999999999955,7665.779290073429,5868.8,0.03750894774516822
2044,M16903,M,299.2,309.0,1597,30.3,115,0,0,0,0,0,0,9.800000000000011,5067.294702460728,3484.5,0.018973074514715093
2045,L49224,L,299.3,309.1,1470,41.1,118,0,0,0,0,0,0,9.800000000000011,6326.853445064485,4849.8,0.02795918367346939
2046,M16905,M,299.3,309.1,1703,31.3,120,0,0,0,0,0,0,9.800000000000011,5581.971354922833,3756.0,0.01837933059307105
2047,L49226,L,299.3,309.1,1388,45.5,123,0,0,0,0,0,0,9.800000000000011,6613.471414826994,5596.5,0.032780979827089336
2048,L49227,L,299.3,309.2,1775,24.2,125,0,0,0,0,0,0,9.899999999999977,4498.237081164985,3025.0,0.013633802816901408
2049,L49228,L,299.3,309.2,1465,41.5,127,0,0,0,0,0,0,9.899999999999977,6366.699311887515,5270.5,0.02832764505119454
2050,M16909,M,299.3,309.2,1586,37.9,129,0,0,0,0,0,0,9.899999999999977,6294.641648389676,4889.099999999999,0.023896595208070616
2051,M16910,M,299.5,309.3,1675,29.2,132,0,0,0,0,0,0,9.800000000000011,5121.84322290256,3854.4,0.017432835820895522
2052,M16911,M,299.4,309.2,1470,44.4,135,0,0,0,0,0,0,9.800000000000011,6834.848977149954,5994.0,0.03020408163265306
2053,L49232,L,299.5,309.3,1477,40.4,138,0,0,0,0,0,0,9.800000000000011,6248.711563794193,5575.2,0.02735274204468517
2054,L49233,L,299.5,309.3,1382,61.0,140,0,0,0,0,0,0,9.800000000000011,8828.084796097559,8540.0,0.04413892908827786
2055,M16914,M,299.6,309.4,1605,29.8,142,0,0,0,0,0,0,9.799999999999955,5008.641167618207,4231.6,0.018566978193146417
2056,L49235,L,299.6,309.4,1643,32.9,145,0,0,0,0,0,0,9.799999999999955,5660.594947066672,4770.5,0.020024345709068775
2057,L49236,L,299.5,309.3,1333,54.1,147,0,0,0,0,0,0,9.800000000000011,7551.896556380801,7952.7,0.040585146286571644
2058,L49237,L,299.5,309.3,1520,42.3,149,0,0,0,0,0,0,9.800000000000011,6733.061375173644,6302.7,0.02782894736842105
2059,M16918,M,299.5,309.3,1902,24.0,151,0,0,0,0,0,0,9.800000000000011,4780.247381702229,3624.0,0.012618296529968454
2060,H31473,H,299.5,309.4,1386,44.4,154,0,0,0,0,0,0,9.899999999999977,6444.28617845567,6837.599999999999,0.032034632034632034
2061,L49240,L,299.6,309.5,1803,27.7,159,0,0,0,0,0,0,9.899999999999977,5230.02920191668,4404.3,0.015363283416528008
2062,L49241,L,299.7,309.6,1359,50.7,161,0,0,0,0,0,0,9.900000000000034,7215.327263426214,8162.700000000001,0.03730684326710817
2063,M16922,M,299.7,309.6,1477,42.7,163,0,0,0,0,0,0,9.900000000000034,6604.455043911191,6960.1,0.028909952606635075
2064,L49243,L,299.7,309.6,1321,53.4,166,0,0,0,0,0,0,9.900000000000034,7387.078133797968,8864.4,0.040423921271763814
2065,L49244,L,299.6,309.5,1453,41.4,168,0,0,0,0,0,0,9.899999999999977,6299.333093419037,6955.2,0.028492773571920163
2066,L49245,L,299.7,309.6,1419,45.1,170,0,0,0,0,0,0,9.900000000000034,6701.739696417355,7667.0,0.03178294573643411
2067,L49246,L,299.7,309.6,1512,36.2,172,0,0,0,0,0,0,9.900000000000034,5731.772964621507,6226.400000000001,0.023941798941798945
2068,L49247,L,299.7,309.6,1553,36.8,174,0,0,0,0,0,0,9.900000000000034,5984.775892990603,6403.2,0.02369607211848036
2069,M16928,M,299.7,309.6,1534,39.1,176,0,0,0,0,0,0,9.900000000000034,6281.028080224121,6881.6,0.02548891786179922
2070,H31483,H,299.7,309.6,1553,41.0,179,0,0,0,0,0,0,9.900000000000034,6667.8209677340965,7339.0,0.026400515132002575
2071,L49250,L,299.7,309.5,1352,49.7,184,0,0,0,0,0,0,9.800000000000011,7036.581113412467,9144.800000000001,0.0367603550295858
2072,M16931,M,299.7,309.6,1313,60.0,186,0,0,0,0,0,0,9.900000000000034,8249.822308326797,11160.0,0.0456968773800457
2073,L49252,L,299.6,309.5,1570,35.5,189,0,0,0,0,0,1,9.899999999999977,5836.555551594238,6709.5,0.022611464968152865
2074,L49253,L,299.6,309.4,1677,31.1,191,0,0,0,0,0,0,9.799999999999955,5461.6274123393205,5940.1,0.018545020870602266
2075,L49254,L,299.5,309.4,1602,31.5,193,0,0,0,0,0,0,9.899999999999977,5284.473002603391,6079.5,0.019662921348314606
2076,L49255,L,299.5,309.4,1390,58.8,195,1,0,0,0,1,0,9.899999999999977,8558.955025440031,11466.0,0.042302158273381296
2077,L49256,L,299.4,309.3,1544,36.0,197,0,0,0,0,0,0,9.900000000000034,5820.742868571168,7092.0,0.023316062176165803
2078,L49257,L,299.4,309.4,1701,31.2,199,0,0,0,0,0,0,10.0,5557.603067906487,6208.8,0.01834215167548501
2079,M16938,M,299.4,309.3,1692,28.4,201,0,0,0,0,0,0,9.900000000000034,5032.077448813987,5708.4,0.016784869976359338
2080,M16939,M,299.3,309.3,1523,37.9,204,0,0,0,0,0,0,10.0,6044.602289090466,7731.599999999999,0.024885095206828627
2081,L49260,L,299.3,309.2,2280,15.4,207,0,0,0,0,0,0,9.899999999999977,3676.920041761494,3187.8,0.006754385964912281
2082,M16941,M,299.4,309.3,1485,47.1,209,0,0,0,0,0,0,9.900000000000034,7324.466192211924,9843.9,0.03171717171717172
2083,H31496,H,299.4,309.2,1513,36.1,212,0,0,0,0,0,0,9.800000000000011,5719.719720807233,7653.200000000001,0.023859881031064113
2084,H31497,H,299.4,309.3,1743,28.2,0,0,0,0,0,0,0,9.900000000000034,5147.248235494589,0.0,0.016179001721170396
2085,L49264,L,299.5,309.3,1442,46.2,5,0,0,0,0,0,0,9.800000000000011,6976.471973973782,231.0,0.03203883495145631
2086,L49265,L,299.5,309.3,1462,46.7,7,0,0,0,0,0,0,9.800000000000011,7149.783168696819,326.90000000000003,0.031942544459644326
2087,H31500,H,299.4,309.3,1439,49.7,9,0,0,0,0,0,0,9.900000000000034,7489.378862574364,447.3,0.034537873523280055
2088,L49267,L,299.5,309.3,1577,36.6,14,0,0,0,0,0,0,9.800000000000011,6044.235769947546,512.4,0.023208623969562463
2089,L49268,L,299.6,309.4,1331,46.4,16,0,0,0,0,0,0,9.799999999999955,6467.324524581995,742.4,0.03486100676183321
2090,L49269,L,299.5,309.3,1941,22.5,18,0,0,0,0,0,0,9.800000000000011,4573.373505463342,405.0,0.011591962905718702
2091,L49270,L,299.5,309.2,1393,47.3,20,0,0,0,0,0,0,9.699999999999989,6899.86947310375,946.0,0.03395549174443647
2092,L49271,L,299.4,309.2,1433,42.1,22,0,0,0,0,0,0,9.800000000000011,6317.669522540489,926.2,0.029378925331472436
2093,L49272,L,299.4,309.2,1444,48.2,24,0,0,0,0,0,0,9.800000000000011,7288.578732132416,1156.8000000000002,0.03337950138504155
2094,L49273,L,299.4,309.2,1564,39.0,26,0,0,0,0,0,0,9.800000000000011,6387.486183278767,1014.0,0.024936061381074168
2095,L49274,L,299.4,309.3,1377,43.6,28,0,0,0,0,0,0,9.900000000000034,6287.080882070038,1220.8,0.03166303558460421
2096,L49275,L,299.4,309.3,1525,41.5,30,0,0,0,0,0,0,9.900000000000034,6627.451502135468,1245.0,0.02721311475409836
2097,M16956,M,299.5,309.4,1387,56.2,32,0,0,0,0,0,0,9.899999999999977,8162.842079724407,1798.4,0.04051910598413843
2098,M16957,M,299.4,309.4,1326,47.5,35,0,0,0,0,0,0,10.0,6595.77377621177,1662.5,0.03582202111613876
2099,L49278,L,299.4,309.3,1401,59.0,38,0,0,0,0,0,0,9.900000000000034,8656.030238435957,2242.0,0.042112776588151324
2100,L49279,L,299.4,309.3,1596,31.8,40,0,0,0,0,0,0,9.900000000000034,5314.820787637069,1272.0,0.01992481203007519
2101,M16960,M,299.3,309.3,1471,46.0,42,0,0,0,0,0,0,10.0,7085.966949926898,1932.0,0.03127124405166554
