Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp difference,Power,Wear severity,Load factor
L,299.1,308.2,1409,46.4,12,0,9.099999999999966,6846.326262311068,556.8,0.0329311568488289
M,299.2,308.2,1674,28.2,14,0,9.0,4943.484535982755,394.8,0.0168458781362007
L,299.1,308.3,1305,61.4,17,0,9.199999999999989,8390.879818472979,1043.8,0.0470498084291187
M,299.2,308.3,1755,26.4,19,0,9.100000000000025,4851.875694204076,501.6,0.015042735042735
L,299.2,308.4,1475,38.7,22,0,9.199999999999989,5977.665421617979,851.4000000000001,0.0262372881355932
L,299.2,308.4,1402,47.7,24,0,9.199999999999989,7003.175511529295,1144.8000000000002,0.0340228245363766
L,299.2,308.3,1410,43.0,26,0,9.100000000000025,6349.158752904972,1118.0,0.0304964539007092
L,299.2,308.4,1436,41.8,28,0,9.199999999999989,6285.782357106553,1170.4,0.029108635097493
M,299.3,308.5,1386,42.2,30,0,9.199999999999989,6124.974701144804,1266.0,0.0304473304473304
L,299.3,308.6,1744,26.4,33,0,9.300000000000011,4821.465077317326,871.1999999999999,0.015137614678899
L,299.2,308.4,1393,48.4,35,0,9.199999999999989,7060.331553873605,1694.0,0.0347451543431442
M,299.3,308.5,1422,45.4,37,0,9.199999999999989,6760.58172681909,1679.8,0.0319268635724331
L,299.2,308.4,1841,22.8,40,0,9.199999999999989,4395.590777196695,912.0,0.0123845736013036
L,299.3,308.6,1433,37.7,42,0,9.300000000000011,5657.390522560012,1583.4,0.0263084438241451
M,299.3,308.5,1305,60.6,44,0,9.199999999999989,8281.552394128053,2666.4,0.0464367816091954
H,299.3,308.6,1498,39.5,47,0,9.300000000000011,6196.3726301853885,1856.5,0.0263684913217623
L,299.3,308.5,1772,26.1,52,0,9.199999999999989,4843.204898480169,1357.2,0.0147291196388261
M,299.2,308.4,1381,42.5,54,0,9.199999999999989,6146.264227360631,2295.0,0.0307748008689355
L,299.3,308.5,1413,38.5,57,0,9.199999999999989,5696.807038387052,2194.5,0.027246992215145
H,299.2,308.4,1388,53.2,59,0,9.199999999999989,7732.67426964387,3138.8,0.0383285302593659
M,299.2,308.6,1631,35.4,64,0,9.400000000000034,6046.246389245844,2265.6,0.021704475781729
H,299.3,308.6,1520,41.4,67,0,9.300000000000011,6589.80475016995,2773.8,0.0272368421052631
L,299.3,308.5,1510,45.4,72,0,9.199999999999989,7178.958092473155,3268.8,0.0300662251655629
L,299.2,308.5,1366,49.7,74,0,9.300000000000011,7109.445119024726,3677.8,0.0363836017569546
L,299.4,308.5,1845,22.9,76,0,9.100000000000025,4424.4620136831845,1740.4,0.0124119241192411
L,299.3,308.5,1485,44.7,78,0,9.199999999999989,6951.244984965457,3486.6000000000004,0.0301010101010101
M,299.3,308.5,1496,39.4,80,0,9.199999999999989,6172.4336941650345,3152.0,0.0263368983957219
M,299.3,308.4,1468,42.2,83,0,9.099999999999966,6487.346941760876,3502.6000000000004,0.0287465940054495
M,299.2,308.4,1856,22.7,86,0,9.199999999999989,4411.96894689741,1952.2,0.0122306034482758
L,299.2,308.4,1620,34.1,89,0,9.199999999999989,5784.928712320244,3034.9,0.0210493827160493
L,299.3,308.5,1409,44.8,91,0,9.199999999999989,6610.246046369308,4076.8,0.0317955997161107
M,299.3,308.5,1404,49.4,93,0,9.199999999999989,7263.110887687315,4594.2,0.0351851851851851
L,299.2,308.4,1350,51.3,96,0,9.199999999999989,7252.366640812037,4924.799999999999,0.038
M,299.2,308.4,1538,38.0,98,0,9.199999999999989,6120.241368213395,3724.0,0.0247074122236671
M,299.2,308.4,1476,32.7,101,0,9.199999999999989,5054.319924801403,3302.7000000000003,0.0221544715447154
M,299.2,308.3,1364,51.8,104,0,9.100000000000025,7398.995241930584,5387.2,0.0379765395894428
M,299.2,308.3,1582,45.5,107,0,9.100000000000025,7537.832693268229,4868.5,0.0287610619469026
L,299.1,308.2,1348,56.1,110,0,9.099999999999966,7919.201097463007,6171.0,0.0416172106824925
H,299.1,308.2,1450,46.1,112,0,9.099999999999966,6999.992030973657,5163.2,0.0317931034482758
L,299.0,308.1,1242,60.9,117,0,9.100000000000025,7920.771893789802,7125.3,0.0490338164251207
L,299.1,308.2,1493,34.9,119,0,9.099999999999966,5456.496144338456,4153.099999999999,0.0233757535164099
L,299.1,308.3,1601,31.4,121,0,9.199999999999989,5264.408697522464,3799.4,0.0196127420362273
L,299.1,308.2,1568,33.3,123,0,9.099999999999966,5467.879181719963,4095.9,0.0212372448979591
M,299.1,308.3,1506,38.0,125,0,9.199999999999989,5992.9021459878895,4750.0,0.0252324037184594
L,299.1,308.3,1524,34.1,128,0,9.199999999999989,5442.118121960526,4364.8,0.0223753280839895
L,299.1,308.4,1543,37.9,130,0,9.299999999999956,6123.979863471166,4927.0,0.0245625405055087
M,299.2,308.5,1474,47.2,132,0,9.300000000000011,7285.646578989066,6230.400000000001,0.0320217096336499
M,299.2,308.5,1526,37.3,135,0,9.300000000000011,5960.6275174600105,5035.5,0.024442988204456
L,299.2,308.5,1867,27.0,138,0,9.300000000000011,5278.81813582693,3726.0,0.0144617032672737
L,299.2,308.5,1487,41.2,140,0,9.300000000000011,6415.592965552885,5768.0,0.0277067921990585
L,299.2,308.4,1580,32.6,142,0,9.199999999999989,5393.905146703435,4629.2,0.020632911392405
L,299.2,308.5,1340,50.0,144,0,9.300000000000011,7016.223593017205,7200.0,0.0373134328358208
L,299.2,308.5,1544,41.6,146,0,9.300000000000011,6726.191759237796,6073.6,0.0269430051813471
L,299.2,308.5,1488,40.3,148,0,9.300000000000011,6279.666723407564,5964.4,0.0270833333333333
M,299.2,308.5,1742,28.9,150,0,9.300000000000011,5271.990407793127,4335.0,0.0165901262916188
M,299.1,308.5,1592,34.2,153,0,9.399999999999975,5701.613675147045,5232.6,0.0214824120603015
L,299.2,308.6,1582,38.8,156,0,9.400000000000034,6427.866120852907,6052.799999999999,0.0245259165613147
L,299.2,308.5,1490,43.2,158,0,9.300000000000011,6740.601197542261,6825.6,0.028993288590604
M,299.2,308.5,1594,35.8,160,0,9.300000000000011,5975.853769854409,5728.0,0.0224592220828105
H,299.2,308.6,1462,55.0,163,0,9.400000000000034,8420.515509171842,8965.0,0.0376196990424076
M,299.2,308.6,1367,47.6,168,0,9.400000000000034,6814.030689832166,7996.8,0.0348207754206291
L,299.2,308.7,1325,51.0,171,0,9.5,7076.43745221101,8721.0,0.0384905660377358
H,299.2,308.7,1448,51.4,173,0,9.5,7793.998158241941,8892.199999999999,0.0354972375690607
M,299.1,308.7,2008,20.3,178,0,9.599999999999966,4268.62854608962,3613.4,0.010109561752988
L,299.1,308.7,1498,38.9,181,0,9.599999999999966,6102.250514283838,7040.9,0.0259679572763684
L,299.1,308.6,1437,41.6,183,0,9.5,6260.063185249165,7612.8,0.0289491997216423
M,299.1,308.6,1499,45.1,185,0,9.5,7079.568572889086,8343.5,0.0300867244829886
L,299.0,308.4,1356,52.6,188,0,9.399999999999975,7469.199365762804,9888.8,0.0387905604719764
L,299.1,308.5,1539,46.8,190,0,9.399999999999975,7542.461306444518,8892.0,0.0304093567251462
L,299.1,308.5,1689,32.1,192,0,9.399999999999975,5677.580491347081,6163.200000000001,0.0190053285968028
L,299.0,308.5,1559,38.1,194,0,9.5,6220.13354262204,7391.400000000001,0.0244387427838357
L,299.1,308.6,1408,46.7,196,0,9.5,6885.70089023606,9153.2,0.0331676136363636
L,299.0,308.5,1886,23.0,198,0,9.5,4542.533537580602,4554.0,0.0121951219512195
L,299.1,308.5,1415,43.4,0,0,9.399999999999975,6430.944881653426,0.0,0.0306713780918727
M,299.1,308.5,1587,35.6,2,0,9.399999999999975,5916.372948946442,71.2,0.0224322621298046
L,299.0,308.4,1571,38.6,5,0,9.399999999999975,6350.26878230924,193.0,0.0245703373647358
L,298.9,308.3,1576,36.6,7,0,9.400000000000034,6040.403026910167,256.2,0.0232233502538071
L,298.9,308.3,1660,34.4,9,0,9.400000000000034,5979.916896353052,309.6,0.020722891566265
M,298.9,308.2,1328,49.2,11,0,9.300000000000011,6842.137472106284,541.2,0.0370481927710843
H,298.8,308.2,1450,44.7,14,0,9.399999999999975,6787.410928080748,625.8000000000001,0.0308275862068965
L,298.9,308.2,2384,15.0,19,0,9.300000000000011,3744.7784430790334,285.0,0.0062919463087248
L,298.8,308.2,1443,53.4,21,0,9.399999999999975,8069.306394451528,1121.4,0.037006237006237
M,298.9,308.2,2022,20.0,23,0,9.300000000000011,4234.866897039041,460.0,0.009891196834817
L,298.9,308.2,1828,23.8,26,0,9.300000000000011,4555.979554137966,618.8000000000001,0.0130196936542669
L,298.8,308.1,1472,53.5,28,0,9.300000000000011,8246.890155183446,1498.0,0.0363451086956521
M,298.9,308.2,1372,63.6,30,1,9.300000000000011,9137.762055937415,1908.0,0.0463556851311953
L,298.9,308.3,1855,23.8,33,0,9.400000000000034,4623.272468777859,785.4,0.0128301886792452
M,299.0,308.3,1377,47.2,35,0,9.300000000000011,6806.197652149216,1652.0,0.0342774146695715
L,298.9,308.3,1432,48.9,38,0,9.400000000000034,7332.979908303152,1858.2,0.0341480446927374
M,298.9,308.2,1335,47.8,40,0,9.300000000000011,6682.481733450849,1912.0,0.0358052434456928
M,298.9,308.2,1411,51.3,43,0,9.300000000000011,7580.066170507987,2205.9,0.0363571934798015
L,298.9,308.2,1510,43.5,46,0,9.300000000000011,6878.517115034852,2001.0,0.0288079470198675
L,299.0,308.3,1441,44.0,48,0,9.300000000000011,6639.651353606909,2112.0,0.0305343511450381
M,299.0,308.2,1358,42.7,50,0,9.199999999999989,6072.342552221665,2135.0,0.0314432989690721
L,298.9,308.2,1686,30.4,53,0,9.300000000000011,5367.34821680509,1611.1999999999998,0.0180308422301304
H,299.0,308.2,1662,30.4,55,0,9.199999999999989,5290.944683469786,1672.0,0.0182912154031287
L,299.1,308.3,1426,40.1,60,0,9.199999999999989,5988.147869105456,2406.0,0.0281206171107994
M,299.1,308.4,1330,53.6,62,0,9.299999999999956,7465.261902970306,3323.2000000000003,0.0403007518796992
L,299.1,308.4,1693,31.6,65,0,9.299999999999956,5602.381235195655,2054.0,0.0186650915534554
L,299.1,308.4,1426,47.9,67,0,9.299999999999956,7152.9247613504085,3209.3,0.0335904628330995
L,299.1,308.5,1676,31.0,69,0,9.399999999999975,5440.819596997043,2139.0,0.0184964200477326
M,299.1,308.4,1332,51.7,71,0,9.299999999999956,7211.463104462298,3670.7,0.0388138138138138
L,299.1,308.5,1647,35.0,74,0,9.399999999999975,6036.570283872788,2590.0,0.0212507589556769
L,299.2,308.6,1267,68.2,76,1,9.400000000000034,9048.77120803673,5183.2,0.0538279400157853
H,299.2,308.7,1375,55.1,78,0,9.5,7933.830447253223,4297.8,0.0400727272727272
L,299.3,308.6,1422,48.9,83,0,9.300000000000011,7281.771948049637,4058.7,0.0343881856540084
L,299.3,308.7,1408,48.7,85,0,9.399999999999975,7180.591720653023,4139.5,0.0345880681818181
L,299.4,308.9,1440,42.5,87,0,9.5,6408.849013323178,3697.5,0.0295138888888888
L,299.3,308.8,1772,25.2,89,0,9.5,4676.197833015335,2242.8,0.0142212189616252
L,299.2,308.7,1492,37.8,91,0,9.5,5905.942861336523,3439.8,0.0253351206434316
L,299.2,308.7,1650,30.5,93,0,9.5,5270.021676396878,2836.5,0.0184848484848484
M,299.1,308.6,2329,14.6,95,0,9.5,3560.827721235839,1387.0,0.0062687848862172
L,299.0,308.6,1648,30.8,98,0,9.600000000000025,5315.407218265738,3018.4,0.0186893203883495
L,299.0,308.6,1653,31.7,100,0,9.600000000000025,5487.325640245684,3170.0,0.0191772534785238
L,299.0,308.6,1946,22.3,102,0,9.600000000000025,4544.397549221731,2274.6,0.011459403905447
L,299.1,308.6,1555,36.6,104,0,9.5,5959.915423125197,3806.4,0.0235369774919614
L,299.0,308.6,1661,32.2,106,0,9.600000000000025,5600.852326770908,3413.2000000000003,0.0193859121011438
L,299.0,308.6,1434,45.9,108,0,9.600000000000025,6892.717113829077,4957.2,0.0320083682008368
L,299.0,308.6,1297,54.2,110,0,9.600000000000025,7361.526513548772,5962.0,0.0417887432536623
L,299.0,308.6,1466,46.4,112,0,9.600000000000025,7123.2890706515445,5196.8,0.0316507503410641
M,298.9,308.6,1517,39.8,114,0,9.700000000000044,6322.622766957649,4537.2,0.0262359920896506
L,298.9,308.5,1742,34.5,117,0,9.600000000000025,6293.552562936432,4036.5,0.019804822043628
L,298.9,308.5,1580,39.1,119,0,9.600000000000025,6469.377031782341,4652.900000000001,0.0247468354430379
M,298.9,308.5,1534,42.9,121,0,9.600000000000025,6891.460476767642,5190.9,0.0279661016949152
L,298.9,308.6,1481,40.7,124,0,9.700000000000044,6312.161263421196,5046.8,0.0274814314652262
L,299.0,308.6,1429,37.7,126,0,9.600000000000025,5641.598783487967,4750.200000000001,0.0263820853743876
M,298.9,308.6,1574,33.5,128,0,9.700000000000044,5521.76796770454,4288.0,0.0212833545108005
M,298.9,308.6,1524,40.4,131,0,9.700000000000044,6447.553434815403,5292.4,0.026509186351706
L,299.0,308.7,1507,37.5,134,0,9.699999999999989,5917.9751611997735,5025.0,0.0248838752488387
L,298.9,308.5,1467,44.7,136,0,9.600000000000025,6866.987469996178,6079.200000000001,0.0304703476482617
L,298.9,308.4,1301,51.1,138,0,9.5,6961.884512085613,7051.8,0.0392774788624135
L,298.9,308.5,1429,55.1,140,0,9.600000000000025,8245.413606636259,7714.0,0.0385584324702589
M,298.9,308.5,1555,37.6,142,0,9.600000000000025,6122.754642336267,5339.2,0.0241800643086816
L,298.9,308.5,1503,40.6,145,0,9.600000000000025,6390.187952960855,5887.0,0.0270126413838988
L,298.9,308.5,1459,43.1,147,0,9.600000000000025,6585.081889214053,6335.7,0.0295407813570939
H,298.9,308.4,1449,42.4,149,0,9.5,6433.73042713961,6317.599999999999,0.0292615596963423
L,298.9,308.5,1387,57.3,154,0,9.600000000000025,8322.613010110472,8824.199999999999,0.0413121845710165
M,298.9,308.5,1456,50.0,156,0,9.600000000000025,7623.598172711231,7800.0,0.0343406593406593
L,299.0,308.5,1604,34.7,159,0,9.5,5828.575906254119,5517.3,0.0216334164588528
L,299.0,308.6,1734,32.4,161,0,9.600000000000025,5883.323394230678,5216.4,0.0186851211072664
L,299.0,308.6,1378,47.8,163,0,9.600000000000025,6897.722718123797,7791.4,0.034687953555878
L,298.9,308.7,1504,41.8,165,0,9.800000000000011,6583.437789058675,6896.999999999999,0.0277925531914893
M,298.9,308.7,1402,49.8,167,0,9.800000000000011,7311.491414552597,8316.6,0.0355206847360912
H,298.8,308.6,1524,37.7,170,0,9.800000000000011,6016.652586449028,6409.000000000001,0.0247375328083989
L,298.8,308.6,1593,35.5,175,0,9.800000000000011,5922.059231649439,6212.5,0.022284996861268
M,298.9,308.7,1772,28.4,177,0,9.800000000000011,5270.000732445854,5026.8,0.0160270880361173
H,298.9,308.6,1623,31.0,180,0,9.700000000000044,5268.7650393354415,5580.0,0.0191004313000616
L,298.9,308.7,1356,50.7,185,0,9.800000000000011,7199.399388672513,9379.5,0.0373893805309734
H,298.9,308.7,1500,41.6,187,0,9.800000000000011,6534.51271946677,7779.2,0.0277333333333333
H,299.1,308.8,1566,46.6,192,0,9.699999999999989,7641.986961710243,8947.2,0.029757343550447
L,299.1,308.9,1445,43.4,197,0,9.799999999999956,6567.290002819223,8549.8,0.0300346020761245
H,299.0,308.8,1382,58.5,199,0,9.800000000000011,8466.278042159134,11641.5,0.0423299565846599
M,299.0,308.8,1418,45.7,204,0,9.800000000000011,6786.112403117265,9322.8,0.0322284908321579
L,299.1,308.8,1329,53.6,207,1,9.699999999999989,7459.648924095892,11095.2,0.0403310759969902
M,299.1,308.8,1491,41.0,209,0,9.699999999999989,6401.623350219921,8569.0,0.0274983232729711
M,299.2,308.9,1573,37.4,212,0,9.699999999999989,6160.684137640608,7928.799999999999,0.0237762237762237
M,299.2,308.9,1521,42.3,215,0,9.699999999999989,6737.491020815205,9094.5,0.0278106508875739
L,299.1,308.9,1467,47.2,218,0,9.799999999999956,7251.04717189753,10289.6,0.0321745057941377
M,299.1,308.9,1325,48.4,220,0,9.799999999999956,6715.677895823782,10648.0,0.0365283018867924
L,299.1,308.9,1617,32.3,223,0,9.799999999999956,5469.418562120222,7202.9,0.0199752628324056
M,299.1,308.9,1476,42.7,225,0,9.799999999999956,6599.983510367582,9607.5,0.0289295392953929
L,299.2,309.0,1515,48.9,228,1,9.800000000000011,7758.005978407315,11149.2,0.0322772277227722
L,299.2,309.0,1408,47.2,0,0,9.800000000000011,6959.423597840301,0.0,0.0335227272727272
L,299.2,309.1,1468,45.6,2,0,9.900000000000034,7010.024183514121,91.2,0.0310626702997275
L,299.2,309.1,1387,48.7,4,0,9.900000000000034,7073.494827092147,194.8,0.0351117519826964
M,299.2,309.1,1503,34.7,6,0,9.900000000000034,5461.564580486248,208.2,0.0230871590153027
H,299.2,309.1,1410,47.1,9,0,9.900000000000034,6954.543657251726,423.9,0.0334042553191489
L,299.0,308.9,1615,30.6,14,0,9.899999999999975,5175.145578258466,428.4,0.0189473684210526
L,299.0,308.9,1511,35.9,16,0,9.899999999999975,5680.512644490432,574.4,0.0237590999338186
L,299.1,309.0,1405,53.8,18,0,9.899999999999975,7915.661569739963,968.4,0.0382918149466192
M,299.0,308.9,1526,41.1,20,0,9.899999999999975,6567.876433447894,822.0,0.0269331585845347
L,298.9,308.8,1530,38.3,23,0,9.900000000000034,6136.472930256942,880.9,0.025032679738562
L,299.0,308.7,1583,32.5,25,0,9.699999999999989,5387.569601518696,812.5,0.0205306380290587
L,298.9,308.6,2069,18.7,27,0,9.700000000000044,4051.638741506172,504.9,0.009038182696955
L,298.8,308.5,1490,35.0,29,0,9.699999999999989,5461.135229490257,1015.0,0.023489932885906
L,298.8,308.5,1736,29.0,31,0,9.699999999999989,5272.011351744151,899.0,0.0167050691244239
L,298.8,308.5,1395,44.4,33,0,9.699999999999989,6486.132192601487,1465.2,0.0318279569892473
M,298.9,308.6,1425,49.6,35,0,9.700000000000044,7401.592291857552,1736.0,0.0348070175438596
L,298.8,308.6,1631,32.4,38,0,9.800000000000011,5533.852627445348,1231.2,0.0198651134273451
L,298.8,308.6,1535,41.2,40,0,9.800000000000011,6622.686753277523,1648.0,0.0268403908794788
L,298.8,308.6,1584,34.4,42,0,9.800000000000011,5706.137568568213,1444.8,0.0217171717171717
M,298.8,308.7,1543,38.2,44,0,9.899999999999975,6172.454638116058,1680.8000000000002,0.0247569669475048
L,298.8,308.7,1635,35.2,47,0,9.899999999999975,6026.83134664666,1654.4,0.0215290519877675
M,298.8,308.7,1446,45.5,49,0,9.899999999999975,6889.826848587776,2229.5,0.0314661134163208
M,298.8,308.6,1598,35.1,52,0,9.800000000000011,5873.7101207106925,1825.2,0.021964956195244
L,298.8,308.6,1501,35.0,55,0,9.800000000000011,5501.452335211327,1925.0,0.0233177881412391
L,298.8,308.5,1450,50.8,57,0,9.699999999999989,7713.6571621141375,2895.6,0.0350344827586206
L,298.8,308.6,1730,25.9,59,0,9.800000000000011,4692.178067646596,1528.1,0.0149710982658959
M,298.8,308.6,1571,33.7,61,0,9.800000000000011,5544.146579373612,2055.7000000000003,0.0214513049013367
L,298.9,308.7,1438,51.7,64,0,9.800000000000011,7785.348306469058,3308.8,0.035952712100139
M,298.8,308.5,1510,38.7,66,0,9.699999999999989,6119.5083299275575,2554.2000000000003,0.0256291390728476
L,298.9,308.7,1389,44.9,69,0,9.800000000000011,6530.962719768212,3098.1,0.0323254139668826
L,298.8,308.7,1490,33.6,71,0,9.899999999999975,5242.689820310648,2385.6,0.0225503355704698
L,298.9,308.7,1729,26.6,73,0,9.800000000000011,4816.208145610321,1941.8,0.0153846153846153
L,299.0,308.8,1495,38.4,75,0,9.800000000000011,6011.751701909428,2880.0,0.0256856187290969
L,298.9,308.8,1281,53.9,77,0,9.900000000000034,7230.469740016516,4150.3,0.0420765027322404
H,298.9,308.7,1353,48.1,79,0,9.800000000000011,6815.088359358874,3799.9,0.035550628233555
L,299.1,308.8,1429,50.1,84,0,9.699999999999989,7497.190956306291,4208.400000000001,0.0350594821553533
L,299.1,308.8,1413,42.1,86,0,9.699999999999989,6229.495488729737,3620.6,0.029794762915782
L,299.1,308.8,1502,38.3,88,0,9.699999999999989,6024.171464866619,3370.4,0.0254993342210386
H,299.1,308.8,1553,32.6,90,0,9.699999999999989,5301.730818247112,2934.0,0.0209916291049581
H,299.2,308.9,1712,26.4,95,0,9.699999999999989,4732.997828192239,2508.0,0.0154205607476635
L,299.3,309.0,1786,23.5,100,0,9.699999999999989,4395.1928421272405,2350.0,0.0131578947368421
L,299.2,309.0,1951,21.4,102,0,9.800000000000011,4372.196383902962,2182.8,0.010968733982573
M,299.2,309.0,1541,36.3,104,0,9.800000000000011,5857.845077810064,3775.2,0.0235561323815704
L,299.2,309.1,1605,34.3,107,0,9.900000000000034,5764.97959896995,3670.1,0.0213707165109034
L,299.2,309.1,1578,38.1,109,0,9.900000000000034,6295.940173353161,4152.900000000001,0.0241444866920152
M,299.3,309.2,1440,37.5,111,0,9.899999999999975,5654.866776461628,4162.5,0.0260416666666666
L,299.4,309.2,1489,42.3,114,0,9.800000000000011,6595.742360285234,4822.2,0.028408327736736
L,299.4,309.3,1366,48.4,116,0,9.900000000000034,6923.483777883233,5614.4,0.0354319180087847
L,299.3,309.2,1541,37.2,118,0,9.899999999999975,6003.080906185521,4389.6,0.0241401687216093
H,299.3,309.1,1552,40.7,120,0,9.800000000000011,6614.769939790477,4884.0,0.0262242268041237
L,299.3,309.1,1473,40.3,125,0,9.800000000000011,6216.363631437732,5037.5,0.0273591310251188
L,299.3,309.1,1531,37.9,127,0,9.800000000000011,6076.3533188427455,4813.3,0.024755062050947
L,299.3,309.2,1511,37.2,129,0,9.899999999999975,5886.2136594719805,4798.8,0.0246194573130377
M,299.3,309.1,1449,47.9,131,0,9.800000000000011,7268.294515565738,6274.9,0.0330572808833678
M,299.4,309.1,1440,50.0,134,0,9.700000000000044,7539.822368615504,6700.0,0.0347222222222222
M,299.2,309.0,1881,23.9,137,0,9.800000000000011,4707.770839183912,3274.3,0.0127060074428495
L,299.3,309.0,1447,50.4,140,0,9.699999999999989,7637.086077170642,7056.0,0.0348306841741534
M,299.4,309.1,1326,62.0,142,0,9.700000000000044,8609.22050789747,8804.0,0.0467571644042232
L,299.4,309.2,1607,31.7,145,0,9.800000000000011,5334.623293330195,4596.5,0.0197261978842563
L,299.3,309.1,1551,39.1,147,0,9.800000000000011,6350.63530145216,5747.7,0.0252095422308188
L,299.3,309.1,1496,37.2,149,0,9.800000000000011,5827.78003611521,5542.8,0.0248663101604278
L,299.3,309.1,1493,38.0,151,0,9.800000000000011,5941.170586958778,5738.0,0.0254521098459477
L,299.4,309.1,1304,50.5,153,0,9.700000000000044,6896.005314139835,7726.5,0.0387269938650306
M,299.3,309.0,1420,41.6,155,0,9.699999999999989,6186.0053744285415,6448.0,0.0292957746478873
L,299.4,309.1,1766,24.6,158,0,9.700000000000044,4549.403153516451,3886.8,0.013929784824462
L,299.6,309.2,1450,43.1,160,0,9.599999999999966,6544.4610962031375,6896.0,0.0297241379310344
H,299.5,309.2,1872,22.6,162,0,9.699999999999989,4430.39962379847,3661.2,0.0120726495726495
L,299.6,309.2,1713,26.5,167,0,9.599999999999966,4753.700923779395,4425.5,0.0154699357851722
M,299.5,309.2,1497,40.9,169,0,9.699999999999989,6411.707862637943,6912.099999999999,0.0273213092852371
M,299.4,309.1,1352,44.7,172,0,9.700000000000044,6328.675568803566,7688.400000000001,0.0330621301775148
L,299.5,309.2,1499,41.5,175,0,9.699999999999989,6514.458886361354,7262.5,0.0276851234156104
L,299.5,309.3,1972,19.3,177,0,9.800000000000011,3985.591991952203,3416.1,0.009787018255578
L,299.5,309.3,1422,49.2,179,0,9.800000000000011,7326.445395583684,8806.800000000001,0.0345991561181434
L,299.5,309.3,1523,41.5,181,0,9.800000000000011,6618.759762460537,7511.5,0.0272488509520682
L,299.5,309.4,1563,41.5,183,0,9.899999999999975,6792.59455595917,7594.5,0.0265515035188739
L,299.4,309.3,1391,46.6,185,0,9.900000000000034,6787.997358709418,8621.0,0.0335010783608914
L,299.3,309.1,1795,24.7,187,0,9.800000000000011,4642.907422862796,4618.9,0.0137604456824512
L,299.3,309.1,1293,53.7,189,0,9.800000000000011,7271.121948953969,10149.3,0.0415313225058004
L,299.2,309.1,1345,60.7,191,1,9.900000000000034,8549.477887601703,11593.7,0.0451301115241635
L,299.2,309.0,1615,33.7,193,0,9.800000000000011,5699.425032265043,6504.1,0.0208668730650154
L,299.2,308.9,1342,50.8,195,0,9.699999999999989,7139.122697625636,9906.0,0.0378539493293591
L,299.1,308.8,1502,46.7,197,0,9.699999999999989,7345.399671260343,9199.9,0.0310918774966711
M,299.0,308.7,1620,35.4,199,0,9.699999999999989,6005.468516602248,7044.599999999999,0.0218518518518518
L,299.0,308.7,1537,42.8,202,0,9.699999999999989,6888.8424828896505,8645.599999999999,0.0278464541314248
L,299.0,308.7,2248,16.8,204,0,9.699999999999989,3954.888159751119,3427.2000000000003,0.0074733096085409
L,299.0,308.7,1706,28.6,206,0,9.699999999999989,5109.444403896391,5891.6,0.0167643610785463
L,299.0,308.7,2250,16.6,208,0,9.699999999999989,3911.2828537192927,3452.8,0.0073777777777777
L,299.0,308.7,1396,48.6,0,0,9.699999999999989,7104.774617946389,0.0,0.0348137535816618
L,298.9,308.6,1522,46.4,2,0,9.700000000000044,7395.392882354468,92.8,0.0304862023653088
L,298.9,308.6,1539,45.4,4,0,9.700000000000044,7316.8321220637,181.6,0.0294996751137102
H,298.9,308.5,1415,54.0,6,0,9.600000000000025,8001.636488693203,324.0,0.0381625441696113
L,298.8,308.5,1446,37.0,11,0,9.699999999999989,5602.716338412038,407.0,0.0255878284923928
M,298.8,308.6,1486,41.1,13,0,9.800000000000011,6395.717156031173,534.3000000000001,0.0276581426648721
L,299.0,308.7,1426,38.6,16,0,9.699999999999989,5764.152312904505,617.6,0.0270687237026647
L,299.0,308.7,1449,38.9,18,0,9.699999999999989,5902.644189050256,700.1999999999999,0.0268461007591442
L,299.1,308.8,1320,67.5,20,1,9.699999999999989,9330.530181161685,1350.0,0.0511363636363636
M,299.2,308.9,1447,39.6,22,0,9.699999999999989,6000.567632062648,871.2,0.0273669661368348
L,299.3,309.0,1422,47.3,25,0,9.699999999999989,7043.513561201386,1182.5,0.0332630098452883
L,299.3,309.1,1399,52.1,27,0,9.800000000000011,7632.80303918625,1406.7,0.0372408863473909
L,299.4,309.2,1427,41.5,29,0,9.800000000000011,6201.556258063812,1203.5,0.0290819901892081
M,299.3,309.2,1334,46.3,31,0,9.899999999999975,6467.931899161689,1435.3,0.0347076461769115
M,299.3,309.1,1385,45.6,34,0,9.800000000000011,6613.680854337233,1550.4,0.0329241877256317
L,299.4,309.2,1552,37.4,37,0,9.800000000000011,6078.437241969627,1383.8,0.0240979381443298
H,299.4,309.3,1534,37.5,39,0,9.900000000000034,6024.003913258429,1462.5,0.0244458930899608
L,299.4,309.3,1448,48.6,44,0,9.900000000000034,7369.422383084793,2138.4,0.0335635359116022
L,299.5,309.3,1409,44.7,46,0,9.800000000000011,6595.491032872948,2056.2000000000003,0.0317246273953158
L,299.4,309.2,1621,34.5,48,0,9.800000000000011,5856.399945189413,1656.0,0.0212831585441085
H,299.4,309.1,1547,40.9,50,0,9.700000000000044,6625.859761857649,2045.0,0.0264382676147382
L,299.4,309.1,1957,22.1,55,0,9.700000000000044,4529.09799299875,1215.5,0.0112927950945324
L,299.4,309.1,2421,14.2,57,0,9.700000000000044,3600.076685454688,809.4,0.0058653448988021
